nthreads,energy,time
1,20558.4,186.501
4,6426.35,54.8055
5,6272.1,52.8747
6,4380.45,36.342
7,4520.3,37.3597
8,3474.25,27.7425
9,3547.85,28.6308
10,2945.8,23.0387
11,2929.1,23.1134
12,2544.5,20.0124
13,2714.1,21.311
14,2571.9,19.7602
15,2340.65,17.7129
16,2040.05,15.5567
17,1996,15.2648
18,2038.8,14.6396
19,1929.25,14.2095
20,1808.6,13.3105
21,1830.55,13.3324
22,1881.15,13.1262
23,1720.5,12.6286
24,1607.45,11.3859
25,1613.55,11.5984
26,1635.05,11.3161
27,1593.55,10.846
28,1560.35,10.055
29,1550.25,10.2693
30,1515.85,9.99441
31,1504.8,9.79105
32,1418.85,9.16476
33,1470.6,9.38875
34,1368.55,8.71166
35,1433.85,8.80982
36,1369.2,8.54568
37,1374.95,8.36097
38,1334.2,7.95391
39,1333.3,7.99214
40,1304.3,7.69813
41,1278.9,7.71885
42,1320.7,7.70165
43,1331.1,7.78161
44,1325.85,7.5316
45,1310.65,7.44833
46,1242.6,7.23465
47,1236.6,6.96434
48,1278.45,7.1092
49,1260.3,6.9489
50,1206.35,6.75902
51,1229.85,6.81129
52,1282.35,6.89378
53,1220.1,6.7798
54,1204.75,6.63592
55,1222.45,6.65973
56,1250.15,6.58353
57,1224.4,6.63432
58,1238.75,6.46767
59,1202.95,6.40229
60,1182.5,6.41347
61,1232.25,6.49733
62,1072.85,5.75475
63,1087.6,5.80683
64,1058.55,5.65501
65,1088.2,5.69499
66,1108.05,5.7653
67,1085.3,5.76861
68,1103.75,5.73586
69,1134.6,5.88473
70,1137.05,5.88319
71,1069.4,5.73267
72,1060.6,5.60504
73,1103.9,5.81254
74,1086.35,5.63577
75,1055.95,5.63282
76,1072.6,5.63832
77,1104.4,5.80411
78,1124.1,5.80143
79,1132.8,5.84207
80,1090.4,5.81273
81,1098.35,5.78937
82,1108.6,5.75537
83,1084.65,5.78403
84,1257.1,6.45476
85,1294.55,6.62651
86,1146.2,5.98253
87,1203.25,6.08792
88,1257.8,6.40106
89,1267.8,6.50599
90,1252.6,6.48536
91,1281.1,6.43781
92,1202.8,6.03324
93,1187.95,6.0063
94,1182,5.90195
95,1196.85,5.93654
96,1166.75,5.93427
97,1084.3,5.52905
98,1059.85,5.4474
99,1127.2,5.67057
100,1097.9,5.59961
101,1123.1,5.67858
102,1110.85,5.50297
103,1076.45,5.5537
104,1086.2,5.45024
105,1166.95,5.79112
106,1038.45,5.22649
107,1045.15,5.35173
108,1069.5,5.47482
109,1086.9,5.34436
110,1041.05,5.34535
111,1084.5,5.32732
112,1012.9,4.97293
113,1025.2,5.00758
114,1045.05,5.10645
115,1074.45,5.24162
116,1088.85,5.58652
117,1095.25,5.49517
118,1141.85,5.63033
119,1092.75,5.46043
120,1062.35,5.25953
121,1021.9,5.0351
122,1172.2,5.843
123,1132.4,5.66021
124,1221,6.40554
125,1269.85,6.38196
126,1249.55,6.55629
127,1285.8,6.68873
128,1255.75,6.53131
129,1225.8,6.34655
130,1378.4,6.83974
131,1321.2,6.55438
132,1259.1,6.13755
133,1299.55,6.33534
134,1543.05,7.644
135,1488.5,7.35972
136,1406.45,7.14565
137,1433.25,7.03395
138,1415.15,6.98991
139,1460.05,7.12829
140,1515.75,7.78018
141,1496.8,7.37553
142,1741.65,8.7942
143,1659.6,8.64562
144,1611.15,8.04197
145,1529.55,7.95022
146,1533.8,7.68425
147,1425.15,7.23796
148,1460.85,7.24247
149,1537,7.79526
150,1534.15,7.64004
151,1569.55,7.89376
152,1451.35,7.43798
153,1428.6,7.27715
154,1395.7,7.15021
155,1458.5,7.18616
156,1292.2,6.24688
157,1323.95,6.38009
158,1235.4,5.89822
159,1248.3,6.00879
160,1176.1,5.68611
161,1152.95,5.68155
162,1166,5.85377
163,1197.05,5.94501
164,1192.55,5.97648
165,1197.35,5.89989
166,1166.2,5.6084
167,1139.25,5.4981
168,1156.35,5.57145
169,1114.6,5.54895
170,1078.25,5.34799
171,1165.75,5.55094
172,1132.95,5.55996
173,1130.95,5.62703
174,1159.45,5.5976
175,1199,5.70387
176,1186.9,5.65068
177,1114.2,5.49059
178,1177.05,5.732
179,1206.95,5.76118
180,1255.45,6.0061
181,1180.7,5.89029
182,1254.05,6.17638
183,1275.1,6.20872
184,1343.65,6.47778
185,1277.55,6.4285
186,1315.7,6.28444
187,1206.6,5.99718
188,1341.55,6.42891
189,1322.65,6.33606
190,1408,7.05512
191,1492.4,7.38687
192,1598.15,7.83035
193,1545.7,7.83936
194,1620.6,7.98379
195,1541.55,7.57179
196,1592.8,7.95892
197,1545.3,7.90853
198,1577.35,8.03259
199,1594.25,8.09646
200,1631.65,8.08288
201,1535.95,7.87284
202,1427.9,6.94429
203,1374.8,6.62053
204,1377.45,6.59134
205,1256.3,6.23031
206,1390.55,6.73629
207,1290.55,6.47005
208,1234.45,6.14722
209,1313.25,6.38086
210,1331.4,6.37926
211,1271.95,6.3464
212,1285.5,6.41917
213,1287.5,6.25203
214,1268.6,6.13108
215,1190.15,5.89552
216,1195.75,5.86407
217,1246.35,5.89924
218,1110.65,5.40975
219,1190.8,5.62312
220,1046.35,5.05518
221,1102.65,5.27654
222,1090.8,5.14378
223,1015.9,4.93921
224,982.95,4.75862
225,1050.5,5.09171
226,941,4.59496
227,975.85,4.75148
228,1020.55,4.78894
