power,speedup,nthreads
111.811,1.0,1
120.428,3.51412,4
123.73,4.34876,5
125.496,5.0107,6
126.357,5.69509,7
126.652,6.23393,8
128.941,6.6836,9
129.708,7.1666,10
130.913,7.52186,11
131.741,8.1524,12
133.568,8.3798,13
133.594,8.98209,17
135.983,10.1908,19
137.267,10.6982,21
142.375,10.8986,22
145.489,11.6738,24
148.38,12.2126,25
149.823,18.77,31
152.243,23.0005,33
154.652,25.8267,36
157.393,29.789,41
159.29,32.0159,40
161.553,33.6571,45
165.09,37.5036,48
167.643,38.4589,53
171.083,38.9933,56
174.262,39.0483,57
180.237,43.178,100
180.257,45.7185,105
181.065,46.6391,106
181.86,47.437,113
182.125,49.1077,111
