nthreads,energy,time,power,speedup
1,17463.7,4.6e-05,114.0,1
2,17463.7,4.7e-05,119.0,1
3,17463.7,4.9e-05,119.0,1
4,7386.55,5.1e-05,118.0,2.5045
5,7210.55,5e-05,121.0,2.5693
6,7329.35,4.7e-05,121.0,2.54048
7,7266.05,4.8e-05,120.0,2.55501
8,4108.75,4.9e-05,120.0,4.65385
9,4156.05,4.9e-05,117.0,4.65384
10,4163.65,5.1e-05,122.0,4.65279
11,4065.55,4.8e-05,120.0,4.77823
12,2915.4,5.1e-05,119.0,6.88735
13,2966.95,4.6e-05,120.0,6.77909
14,2975.7,5.2e-05,121.0,6.79071
15,2951.45,5e-05,119.0,6.81278
16,2333.75,5.8e-05,119.0,9.08367
17,2293.45,5.2e-05,123.0,9.0359
18,2217.05,5.2e-05,121.0,9.55611
19,2315.5,4.8e-05,113.0,9.03461
20,2017.45,5e-05,118.0,10.7568
21,1991.35,4.8e-05,121.0,11.1428
22,2070.8,4.7e-05,117.0,10.6216
23,1981.5,6.1e-05,122.0,10.7986
24,1631.45,5e-05,124.0,13.6698
25,1680,4.6e-05,120.0,13.2541
26,1653.5,4.6e-05,121.0,13.6781
27,1730.15,5.4e-05,122.0,13.0389
28,1600.2,5e-05,120.0,15.0266
29,1686.9,4.7e-05,122.0,14.2514
30,1623.7,4.9e-05,121.0,14.7459
31,1644.95,4.9e-05,125.0,14.3907
32,1459.6,4.8e-05,123.0,16.8752
33,1456.05,4.9e-05,127.0,17.1105
34,1425.25,4.7e-05,123.0,17.6829
35,1501.25,4.9e-05,123.0,16.7056
36,1098.25,4.7e-05,120.0,23.4707
37,1142.9,4.6e-05,123.0,22.8022
38,1094.8,4.6e-05,130.0,23.4601
39,1140.85,4.9e-05,124.0,22.8577
40,1044.35,4.9e-05,123.0,25.7924
41,1053.7,4.6e-05,124.0,25.6565
42,1052.05,4.7e-05,123.0,25.4364
43,1014,4.9e-05,123.0,26.7999
44,980.6,4.6e-05,127.0,28.6302
45,941.95,4.8e-05,124.0,28.8909
46,964.8,4.6e-05,124.0,29.332
47,961.05,5e-05,125.0,28.4136
48,949,4.8e-05,126.0,29.9085
49,948.75,4.8e-05,124.0,29.9119
50,964.15,5e-05,126.0,29.965
51,940.35,4.6e-05,128.0,30.2528
52,899.65,4.6e-05,128.0,32.7865
53,881.15,4.6e-05,126.0,32.744
54,903.45,7.7e-05,126.0,32.1072
55,917.35,4.6e-05,130.0,32.7649
56,845.35,5e-05,130.0,35.031
57,845.8,4.7e-05,127.0,34.9198
58,901.95,4.6e-05,129.0,33.8181
59,887.95,4.6e-05,127.0,34.735
60,876.15,4.7e-05,129.0,35.1143
61,852.45,5e-05,129.0,35.0223
62,868.5,4.8e-05,127.0,34.9669
63,846.75,4.9e-05,127.0,34.8837
64,944.95,4.9e-05,126.0,31.5137
65,952.45,4.8e-05,132.0,31.5012
66,958.5,4.7e-05,128.0,31.5159
67,933.95,4.6e-05,128.0,31.5062
68,814.7,4.7e-05,128.0,37.5245
69,831.8,4.7e-05,129.0,37.1003
70,790.95,4.6e-05,127.0,38.3543
71,771.95,4.5e-05,128.0,39.1935
72,778.35,4.9e-05,126.0,38.713
73,778.45,4.8e-05,127.0,38.771
74,839.15,4.8e-05,129.0,37.6311
75,800.8,4.7e-05,130.0,38.9124
76,747.65,4.8e-05,133.0,40.9182
77,806,4.6e-05,131.0,39.4664
78,793.4,4.7e-05,130.0,39.1682
79,800.2,4.7e-05,128.0,39.8332
80,746.55,4.7e-05,126.0,41.5852
81,768.7,4.6e-05,131.0,42.0332
82,773.3,4.9e-05,127.0,41.9578
83,757.45,4.6e-05,127.0,42.0444
84,679.4,4.8e-05,130.0,46.0977
85,696.3,4.9e-05,130.0,44.9296
86,704.55,5e-05,128.0,44.7292
87,712,4.7e-05,129.0,44.1517
88,695.05,5.1e-05,129.0,45.7512
89,690.7,4.6e-05,127.0,45.8112
90,721.45,4.8e-05,130.0,43.296
91,736.9,4.7e-05,132.0,43.3098
92,713.15,4.8e-05,128.0,46.1959
93,649.25,5.1e-05,127.0,49.1185
94,670.8,4.9e-05,135.0,49.3025
95,753.6,4.5e-05,129.0,43.3784
96,653.85,4.5e-05,127.0,49.1799
97,685.1,4.7e-05,129.0,48.8645
98,689.9,4.7e-05,133.0,48.5689
99,645.65,4.6e-05,133.0,49.0794
100,641.7,5.3e-05,131.0,52.4096
101,673.2,4.5e-05,133.0,48.4488
102,642.85,4.6e-05,131.0,49.2332
103,659.95,4.7e-05,132.0,48.2703
104,661,4.6e-05,129.0,48.4583
105,651.05,4.6e-05,129.0,49.9075
106,639.45,4.9e-05,128.0,50.5995
107,689.9,4.6e-05,130.0,48.2296
108,652.9,4.6e-05,132.0,49.3987
109,637.3,4.7e-05,128.0,50.025
110,679.85,4.8e-05,129.0,49.0762
111,657.9,4.9e-05,130.0,50.9011
112,610.4,4.8e-05,129.0,53.5847
