limit,time,average_power,max_power,estimated_max_power
30,4.165959,118.710843,140.000000,29.929167
35,3.694907,118.178082,137.000000,34.987500
40,3.049777,120.683333,135.000000,39.970833
45,2.566044,122.549020,139.000000,44.858333
50,2.433994,123.020833,148.000000,49.933333
55,2.137275,123.119048,146.000000,54.729167
60,2.065129,124.146341,143.000000,59.925000
65,2.364701,124.425532,147.000000,64.933333
70,2.216718,125.659091,147.000000,69.637500
75,1.731218,126.264706,143.000000,74.866667
80,1.743462,128.294118,149.000000,79.958333
85,1.664682,129.484848,146.000000,84.991667
90,1.915664,129.552632,150.000000,89.950000
95,1.464599,137.000000,149.000000,94.987500
100,1.536503,133.600000,150.000000,99.920833
105,1.935992,140.421053,151.000000,104.912500
110,1.714913,139.529412,152.000000,109.987500
115,1.285568,136.160000,148.000000,114.925000
120,1.597479,138.967742,157.000000,119.983333
125,1.867989,138.702703,151.000000,124.795833
130,1.214309,139.625000,157.000000,129.987500
135,1.274237,140.640000,156.000000,134.920833
140,1.472271,142.551724,157.000000,139.300000
145,1.819463,144.222222,152.000000,144.929167
150,1.864610,143.513514,157.000000,149.795833
155,1.567849,143.354839,157.000000,154.658333
160,1.240349,143.333333,156.000000,159.925000
165,1.420632,143.035714,160.000000,164.862500
170,1.666244,144.363636,160.000000,169.987500
175,1.464373,145.206897,157.000000,174.762500
180,1.416245,145.428571,157.000000,179.916667
185,2.084140,145.024390,158.000000,184.925000
190,1.541822,145.100000,165.000000,189.987500
195,1.590395,143.645161,156.000000,194.970833
200,2.173270,146.348837,159.000000,199.987500
205,2.092275,144.268293,158.000000,204.675000
210,2.214074,139.818182,152.000000,209.987500
215,2.177704,138.302326,151.000000,214.925000
220,2.227520,147.068182,161.000000,219.987500
225,2.075323,146.073171,158.000000,224.925000
230,1.544879,144.133333,161.000000,229.862500
235,1.635938,144.843750,160.000000,234.541667
240,1.478413,145.448276,158.000000,239.350000
245,2.219463,138.045455,153.000000,244.579167
250,2.036473,144.000000,157.000000,249.412500
255,2.148936,147.142857,161.000000,252.858333
260,1.631207,142.593750,166.000000,259.716667
265,1.531290,145.666667,163.000000,264.783333
270,1.693692,143.636364,161.000000,269.891667
275,1.476583,146.344828,166.000000,274.591667
280,2.068341,145.878049,157.000000,279.016667
285,2.194520,145.069767,168.000000,283.583333
290,2.166286,145.767442,160.000000,287.716667
295,1.717761,144.735294,159.000000,294.516667
300,1.524671,145.233333,163.000000,299.708333
305,1.563651,145.903226,157.000000,300.775000
310,1.531175,144.133333,155.000000,303.150000
315,1.619580,143.718750,163.000000,314.016667
320,1.592157,147.161290,167.000000,319.708333
325,1.536767,144.100000,159.000000,294.966667
330,1.619710,147.656250,161.000000,325.266667
